"Event_ID","ticker","name","fiscal_year","event_year","event_date","confound_dum","confound_type","breach_size","breach_type","event_state","hq_state"
435,"GE","General Electric",2007,2007,"09/02/2007",1,"M&A",80,"PORT","Kentucky","New York"
436,"HSIC","Henry Schein, Financial Services, Inc., ChoiceHealth Leasing",2007,2007,"16/03/2007",1,"Earnings",340,"PORT","Illinois","New York"
437,"SDS","Sungard",2007,2007,"20/03/2007",1,"Earnings",3560,"PORT","Pennsylvania","Pennsylvania"
438,"EDS","Electronic Data Systems Corp. (EDS)",2007,2007,"19/03/2007",1,"M&A",30,"PORT","California","Texas"
439,"WM","Waste Management Inc.",2007,2007,"03/04/2007",1,"Earnings",400,"PORT","Texas","Texas"
440,"HD","Home Depot",2006,2007,"24/05/2007",1,"Earnings",204,"PORT","Georgia","Georgia"
441,"TXT","Textron",2007,2007,"31/07/2007",1,"Earnings",500,"PORT","Rhode Island","Rhode Island"
442,"FNFV","Fidelity National Information Services, Fidelity National Financial",2007,2007,"24/09/2007",1,"M&A",111,"PORT","Florida","Florida"
443,"HMC","American Honda Motor Company",2010,2010,"27/12/2010",1,"Earnings",4900000,"HACK","California","California"
444,"WMT","Wal-Mart Stores Inc.",2006,2007,"28/09/2007",1,"Earnings",48686,"INSD","Arkansas","Arkansas"
446,"BGC","General Cable Corporation",2007,2007,"19/11/2007",1,"Earnings",23,"DISC","Texas","Kentucky"
447,"PRU","Prudential Financial",2007,2007,"30/11/2007",1,"M&A",44023,"INSD","Pennsylvania","New Jersey"
454,"HIG","Hartford Life Insurance Company",2011,2011,"06/04/2011",1,"Statement",300,"HACK","Connecticut","Connecticut"
455,"ABM","ABM Industries",2011,2011,"21/04/2011",1,"Earnings",91,"STAT","Georgia","New York"
